,Drive Name,Size,"Disk Rating
(higher is better)","Rank
(lower is better)","Drive Value
(higher is better)","Price
(USD)",lien,Sequential Read,Sequential Write,Random Seek Read Write (IOPS 32KQD20),IOPS 4KQD1
636,INTEL SSDSCKHW120A4,111.8 GB,"3,153",5544,35.04,$89.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=INTEL%20SSDSCKHW120A4&id=8463,NA,NA,NA,NA
637,INTEL SSDSCKHW240A4,223.6 GB,"3,956",3988,26.55,$149.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=INTEL%20SSDSCKHW240A4&id=8764,NA,NA,NA,NA
638,Intel U.2 P5800x Optane 400GB,372.6 GB,"44,093",129,46.41,$950.00,https://www.harddrivebenchmark.net/hdd.php?hdd=Intel%20U.2%20P5800x%20Optane%20400GB&id=30049,"4,922 MBytes/Sec","3,765 MBytes/Sec","4,276 MBytes/Sec",295 MBytes/Sec
639,INTENSO,119.2 GB,"2,489",6699,46.13,$53.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=INTENSO&id=18203,376 MBytes/Sec,205 MBytes/Sec,112 MBytes/Sec,18 MBytes/Sec
640,KBG30ZMS256G NVMe TOSHIBA 256GB,238.5 GB,"6,128",2883,211.45,$28.98,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMS256G%20NVMe%20TOSHIBA%20256GB&id=16771,"1,204 MBytes/Sec",250 MBytes/Sec,264 MBytes/Sec,35 MBytes/Sec
641,KBG30ZMT128G TOSHIBA,119.2 GB,"5,567",2931,143.92,$38.68,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMT128G%20TOSHIBA&id=15368,"1,067 MBytes/Sec",236 MBytes/Sec,230 MBytes/Sec,35 MBytes/Sec
642,KBG30ZMV256G KIOXIA,238.5 GB,"8,300",2698,251.05,$33.06,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMV256G%20KIOXIA&id=24922,"1,239 MBytes/Sec",544 MBytes/Sec,530 MBytes/Sec,50 MBytes/Sec
643,KBG30ZMV512G TOSHIBA,476.9 GB,"9,189",2606,270.19,$34.01,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG30ZMV512G%20TOSHIBA&id=23382,"1,409 MBytes/Sec",535 MBytes/Sec,609 MBytes/Sec,54 MBytes/Sec
644,KBG40ZNS128G NVMe KIOXIA 128GB,119.2 GB,"9,398",2583,587.72,$15.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNS128G%20NVMe%20KIOXIA%20128GB&id=25794,"1,477 MBytes/Sec",608 MBytes/Sec,548 MBytes/Sec,50 MBytes/Sec
645,KBG40ZNS256G NVMe KIOXIA 256GB,238.5 GB,"13,019",2028,725.72,$17.94,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNS256G%20NVMe%20KIOXIA%20256GB&id=24849,"1,917 MBytes/Sec",942 MBytes/Sec,824 MBytes/Sec,57 MBytes/Sec
646,KBG40ZNS512G NVMe KIOXIA 512GB,476.9 GB,"12,564",2122,93.06,$135.00,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNS512G%20NVMe%20KIOXIA%20512GB&id=24816,"1,829 MBytes/Sec",890 MBytes/Sec,826 MBytes/Sec,57 MBytes/Sec
647,KBG40ZNV1T02 KIOXIA,953.9 GB,"16,749",1493,319.10,$52.49,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNV1T02%20KIOXIA&id=26325,"2,030 MBytes/Sec","1,323 MBytes/Sec","1,361 MBytes/Sec",66 MBytes/Sec
648,KBG40ZNV256G KIOXIA,238.5 GB,"14,271",1827,795.48,$17.94,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNV256G%20KIOXIA&id=26741,"1,924 MBytes/Sec","1,128 MBytes/Sec",964 MBytes/Sec,65 MBytes/Sec
649,KBG40ZNV512G KIOXIA,476.9 GB,"14,344",1814,542.31,$26.45,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG40ZNV512G%20KIOXIA&id=26370,"1,975 MBytes/Sec","1,087 MBytes/Sec",966 MBytes/Sec,64 MBytes/Sec
650,KBG50ZNS256G KIOXIA 256GB,238.5 GB,"19,141",1206,683.87,$27.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KBG50ZNS256G%20KIOXIA%20256GB&id=30891,"2,713 MBytes/Sec","1,699 MBytes/Sec","1,342 MBytes/Sec",76 MBytes/Sec
651,KINGBANK KP230,476.9 GB,"18,694",1256,187.17,$99.88*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGBANK%20KP230&id=24711,"2,992 MBytes/Sec","2,524 MBytes/Sec",463 MBytes/Sec,52 MBytes/Sec
652,KingDian S180 60GB,55.9 GB,"1,223",7899,38.23,$31.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingDian%20S180%2060GB&id=11314,269 MBytes/Sec,74 MBytes/Sec,45 MBytes/Sec,7 MBytes/Sec
653,KingDian S200 60GB,55.9 GB,"1,812",7381,90.65,$19.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingDian%20S200%2060GB&id=10336,332 MBytes/Sec,102 MBytes/Sec,67 MBytes/Sec,12 MBytes/Sec
654,KingDian S280 120GB,111.8 GB,"3,184",5483,86.64,$36.75*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingDian%20S280%20120GB&id=14980,420 MBytes/Sec,310 MBytes/Sec,151 MBytes/Sec,26 MBytes/Sec
655,KingDian S280 240GB,223.6 GB,"3,338",5157,95.41,$34.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingDian%20S280%20240GB&id=15123,401 MBytes/Sec,332 MBytes/Sec,184 MBytes/Sec,31 MBytes/Sec
656,KingDian S280 480GB,447.1 GB,"3,242",5372,56.88,$56.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingDian%20S280%20480GB&id=13114,422 MBytes/Sec,286 MBytes/Sec,191 MBytes/Sec,25 MBytes/Sec
657,KingDian S280-120GB,111.8 GB,"3,568",4702,21.56,$165.48*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingDian%20S280-120GB&id=11866,430 MBytes/Sec,319 MBytes/Sec,227 MBytes/Sec,38 MBytes/Sec
658,KingDian S280-240GB,223.6 GB,"3,319",5201,92.21,$35.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingDian%20S280-240GB&id=11641,376 MBytes/Sec,293 MBytes/Sec,234 MBytes/Sec,31 MBytes/Sec
659,KingDian S400XT 240GB,223.6 GB,"1,787",7403,20.31,$87.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingDian%20S400XT%20240GB&id=10986,276 MBytes/Sec,134 MBytes/Sec,85 MBytes/Sec,8 MBytes/Sec
660,KingSpec 512GB M.2 NVMe NE-512,476.9 GB,"12,270",2174,119.93,$102.31*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingSpec%20512GB%20M.2%20NVMe%20NE-512&id=16526,"1,795 MBytes/Sec","1,125 MBytes/Sec",562 MBytes/Sec,29 MBytes/Sec
661,KingSpec Challenger C3000-120,111.8 GB,"2,137",7134,10.69,$199.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingSpec%20Challenger%20C3000-120&id=3813,NA,NA,NA,NA
662,KingSpec KSD-ZF18.6-064MS,59 GB,354,9981,6.88,$51.42*,https://www.harddrivebenchmark.net/hdd.php?hdd=KingSpec%20KSD-ZF18.6-064MS&id=4809,NA,NA,NA,NA
663,KINGSTON FURY Renegade 2TB,1.8 TB,"50,255",43,371.46,$135.29,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20FURY%20Renegade%202TB&id=29657,"5,368 MBytes/Sec","5,204 MBytes/Sec","4,483 MBytes/Sec",125 MBytes/Sec
664,KINGSTON FURY Renegade 4TB,3.6 TB,"49,927",46,92.98,$536.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20FURY%20Renegade%204TB&id=30422,"5,442 MBytes/Sec","5,308 MBytes/Sec","4,473 MBytes/Sec",120 MBytes/Sec
665,Kingston HyperX 120GB SH100S3120G,111.8 GB,"3,159",5526,12.47,$253.31*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20HyperX%20120GB%20SH100S3120G&id=17,399 MBytes/Sec,235 MBytes/Sec,244 MBytes/Sec,25 MBytes/Sec
666,Kingston HyperX 240GB SH100S3240G,223.6 GB,"3,354",5117,9.72,$344.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20HyperX%20240GB%20SH100S3240G&id=547,353 MBytes/Sec,305 MBytes/Sec,252 MBytes/Sec,24 MBytes/Sec
667,Kingston HyperX 3K 120GB SH103S3120G,111.8 GB,"3,544",4744,29.54,$119.98*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20HyperX%203K%20120GB%20SH103S3120G&id=230,418 MBytes/Sec,286 MBytes/Sec,280 MBytes/Sec,30 MBytes/Sec
668,Kingston HyperX 3K 240GB SH103S3240G,223.6 GB,"4,060",3813,20.82,$194.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20HyperX%203K%20240GB%20SH103S3240G&id=423,428 MBytes/Sec,346 MBytes/Sec,344 MBytes/Sec,32 MBytes/Sec
669,Kingston HyperX 3K 480GB SH103S3480G,447.1 GB,"3,926",4049,8.65,$453.63*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20HyperX%203K%20480GB%20SH103S3480G&id=3490,443 MBytes/Sec,275 MBytes/Sec,376 MBytes/Sec,25 MBytes/Sec
670,Kingston HyperX 3K 90GB SH103S390G,83.7 GB,"2,628",6494,22.67,$115.93*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20HyperX%203K%2090GB%20SH103S390G&id=1352,296 MBytes/Sec,216 MBytes/Sec,205 MBytes/Sec,20 MBytes/Sec
671,Kingston HyperX 480GB SH100S3480G,447.1 GB,"3,676",4489,7.35,$499.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20HyperX%20480GB%20SH100S3480G&id=6178,NA,NA,NA,NA
672,KINGSTON KC3000 4TB,3.7 TB,"45,110",109,81.98,$550.25*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20KC3000%204TB&id=30366,"5,076 MBytes/Sec","4,781 MBytes/Sec","3,542 MBytes/Sec",117 MBytes/Sec
673,KINGSTON KC3000 512GB,476.9 GB,"37,541",250,695.33,$53.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20KC3000%20512GB&id=29666,"4,723 MBytes/Sec","3,389 MBytes/Sec","2,924 MBytes/Sec",114 MBytes/Sec
674,Kingston KC3000 M.2 SSD,1.9 TB,"47,724",69,244.75,$194.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20KC3000%20M.2%20SSD&id=30984,"4,571 MBytes/Sec","4,841 MBytes/Sec","4,241 MBytes/Sec",134 MBytes/Sec
675,KINGSTON KINGSTON SH103S3,223.6 GB,"4,043",3834,31.28,$129.26*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20KINGSTON%20SH103S3&id=18312,NA,NA,NA,NA
676,KINGSTON KINGSTON SHFS37A,111.8 GB,"2,685",6395,40.71,$65.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20KINGSTON%20SHFS37A&id=7730,NA,NA,NA,NA
677,Kingston NV2 2TB M.2 2280,1.8 TB,"28,331",497,167.53,$169.11,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20NV2%202TB%20M.2%202280&id=32715,"3,601 MBytes/Sec","2,665 MBytes/Sec","1,789 MBytes/Sec",160 MBytes/Sec
678,KINGSTON SA400S37 240GB,223.6 GB,"3,367",5090,153.09,$21.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SA400S37%20240GB&id=24453,512 MBytes/Sec,345 MBytes/Sec,82 MBytes/Sec,11 MBytes/Sec
679,KINGSTON SH103S3,111.8 GB,"3,517",4801,53.30,$65.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SH103S3&id=6568,NA,NA,NA,NA
680,KINGSTON SH103S3240G-NV,223.6 GB,"3,439",4951,19.11,$179.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SH103S3240G-NV&id=6137,NA,NA,NA,NA
681,KINGSTON SHFS37A,223.6 GB,"3,376",5075,51.19,$65.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SHFS37A&id=9184,NA,NA,NA,NA
682,Kingston SHPM2280P2/240G,223.6 GB,"8,385",2688,46.84,$179.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SHPM2280P2%2F240G&id=9446,"1,249 MBytes/Sec",587 MBytes/Sec,543 MBytes/Sec,42 MBytes/Sec
683,Kingston SHPM2280P2/480G,447.1 GB,"9,802",2540,29.79,$329.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SHPM2280P2%2F480G&id=9393,"1,346 MBytes/Sec",986 MBytes/Sec,677 MBytes/Sec,44 MBytes/Sec
684,Kingston SHPM2280P2H/240G,223.6 GB,"8,289",2699,50.24,$164.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SHPM2280P2H%2F240G&id=9512,"1,192 MBytes/Sec",586 MBytes/Sec,542 MBytes/Sec,36 MBytes/Sec
685,Kingston SHPM2280P2H/480G,447.1 GB,"9,041",2619,32.25,$280.30*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SHPM2280P2H%2F480G&id=9524,"1,229 MBytes/Sec",722 MBytes/Sec,592 MBytes/Sec,31 MBytes/Sec
686,KINGSTON SHSS37A,223.6 GB,"2,674",6414,37.67,$70.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SHSS37A&id=9711,NA,NA,NA,NA
687,KINGSTON SKC100S3120G,111.8 GB,"2,980",5889,14.90,$199.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC100S3120G&id=2623,NA,NA,NA,NA
688,KINGSTON SKC100S3240G,223.6 GB,"3,192",5462,34.32,$93.01*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC100S3240G&id=2760,NA,NA,NA,NA
689,KINGSTON SKC100S3480G,447.1 GB,"3,032",5782,32.01,$94.73*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC100S3480G&id=5369,NA,NA,NA,NA
690,KINGSTON SKC380S3120G,111.8 GB,"2,105",7167,17.54,$119.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC380S3120G&id=6034,259 MBytes/Sec,151 MBytes/Sec,154 MBytes/Sec,19 MBytes/Sec
691,KINGSTON SKC380S360G,55.9 GB,"1,943",7284,23.76,$81.79*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC380S360G&id=6562,NA,NA,NA,NA
692,KINGSTON SKC400S371T,953.9 GB,"4,125",3708,9.69,$425.70*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC400S371T&id=12583,528 MBytes/Sec,443 MBytes/Sec,178 MBytes/Sec,29 MBytes/Sec
693,KINGSTON SKC400S37256G,238.5 GB,"3,159",5525,17.72,$178.27*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC400S37256G&id=11356,405 MBytes/Sec,310 MBytes/Sec,161 MBytes/Sec,27 MBytes/Sec
694,KINGSTON SMS100S232G,29.8 GB,774,8477,15.64,$49.48*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS100S232G&id=3774,NA,NA,NA,NA
695,KINGSTON SMS100S264G,59.6 GB,"1,317",7798,13.86,$94.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS100S264G&id=2736,NA,NA,NA,NA
696,KINGSTON SMS151S324G,22.4 GB,"1,265",7845,66.90,$18.91*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS151S324G&id=6387,NA,NA,NA,NA
697,KINGSTON SMS200S3120G,111.8 GB,"3,082",5684,16.32,$188.86,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS200S3120G&id=5213,403 MBytes/Sec,227 MBytes/Sec,219 MBytes/Sec,27 MBytes/Sec
698,KINGSTON SMS200S3240G,223.6 GB,"4,035",3843,21.27,$189.75,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS200S3240G&id=8609,494 MBytes/Sec,338 MBytes/Sec,343 MBytes/Sec,26 MBytes/Sec
699,KINGSTON SMS200S330G,28 GB,"1,706",7463,40.26,$42.37*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS200S330G&id=6596,NA,NA,NA,NA
700,KINGSTON SMS200S360G,55.9 GB,"2,474",6719,24.74,$99.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS200S360G&id=5341,306 MBytes/Sec,179 MBytes/Sec,185 MBytes/Sec,24 MBytes/Sec
701,KINGSTON SNVS1000GB,931.5 GB,"12,249",2178,71.69,$170.85,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SNVS1000GB&id=28631,"2,064 MBytes/Sec",861 MBytes/Sec,552 MBytes/Sec,23 MBytes/Sec
702,KINGSTON SNVS2000GB,1.8 TB,"13,611",1928,82.55,$164.89,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SNVS2000GB&id=28814,"2,100 MBytes/Sec","1,117 MBytes/Sec",610 MBytes/Sec,23 MBytes/Sec
703,KINGSTON SNVS500GB,465.8 GB,"14,454",1792,362.98,$39.82,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SNVS500GB&id=29240,"2,244 MBytes/Sec","1,188 MBytes/Sec",672 MBytes/Sec,27 MBytes/Sec
704,KINGSTON SS200S330G,28 GB,"1,513",7632,16.81,$89.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SS200S330G&id=6959,NA,NA,NA,NA
705,Kingston SSDNow 256GB,238.5 GB,668,8760,4.55,$146.73*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SSDNow%20256GB&id=7696,NA,NA,NA,NA
706,KINGSTON SSDNow 40GB,37.2 GB,708,8641,16.18,$43.78*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SSDNow%2040GB&id=1356,112 MBytes/Sec,32 MBytes/Sec,42 MBytes/Sec,7 MBytes/Sec
707,Kingston SSDNow 64GB,59.5 GB,986,8161,4.38,$224.88*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SSDNow%2064GB&id=1357,NA,NA,NA,NA
708,Kingston SSDNow V Series 64GB,59.6 GB,513,9262,3.64,$140.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SSDNow%20V%20Series%2064GB&id=1358,87 MBytes/Sec,49 MBytes/Sec,7 MBytes/Sec,2 MBytes/Sec
709,KINGSTON SSDNow V+200 60GB,55.9 GB,"1,592",7554,18.74,$84.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SSDNow%20V%2B200%2060GB&id=177,213 MBytes/Sec,113 MBytes/Sec,106 MBytes/Sec,20 MBytes/Sec
710,KINGSTON SUV400S37 120G,111.8 GB,"2,362",6875,70.97,$33.28*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SUV400S37%20120G&id=16769,NA,NA,NA,NA
711,KINGSTON SV100S2128G,119.2 GB,"1,075",8062,4.53,$237.45*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV100S2128G&id=880,195 MBytes/Sec,71 MBytes/Sec,31 MBytes/Sec,7 MBytes/Sec
712,KINGSTON SV100S2256G,238.5 GB,916,8257,2.26,$406.20*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV100S2256G&id=215,NA,NA,NA,NA
713,KINGSTON SV100S232G,29.7 GB,659,8790,4.88,$134.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV100S232G&id=1359,NA,NA,NA,NA
714,KINGSTON SV100S264G,59.6 GB,"1,072",8070,8.93,$119.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV100S264G&id=22,194 MBytes/Sec,75 MBytes/Sec,27 MBytes/Sec,9 MBytes/Sec
715,KINGSTON SV200S3,119.2 GB,"1,336",7775,2.28,$585.45*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV200S3&id=495,NA,NA,NA,NA
716,KINGSTON SV200S3128G,119.2 GB,"1,594",7551,22.77,$69.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV200S3128G&id=407,208 MBytes/Sec,134 MBytes/Sec,99 MBytes/Sec,18 MBytes/Sec
717,KINGSTON SV200S3256G,238.5 GB,799,8436,4.44,$179.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV200S3256G&id=129,NA,NA,NA,NA
718,KINGSTON SV200S364G,59.5 GB,767,8492,10.96,$69.98*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV200S364G&id=1360,131 MBytes/Sec,42 MBytes/Sec,29 MBytes/Sec,8 MBytes/Sec
719,KINGSTON SV300S3240G,223.6 GB,"3,013",5815,46.89,$64.25*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV300S3240G&id=3918,NA,NA,NA,NA
720,KINGSTON SVP100S2128G,119.2 GB,"1,577",7567,13.14,$119.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S2128G&id=17266,183 MBytes/Sec,169 MBytes/Sec,75 MBytes/Sec,21 MBytes/Sec
721,KINGSTON SVP100S2128G,59.5 GB,"1,133",7992,11.00,$102.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S2128G&id=1361,NA,NA,NA,NA
722,KINGSTON SVP100S2256G,238.5 GB,"1,234",7884,25.19,$48.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S2256G&id=6993,NA,NA,NA,NA
723,KINGSTON SVP100S2512G,476.9 GB,"1,370",7742,4.22,$325.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S2512G&id=4680,NA,NA,NA,NA
724,KINGSTON SVP100S264G,59.6 GB,"1,255",7858,10.33,$121.54*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S264G&id=1362,NA,NA,NA,NA
725,KINGSTON SVP200S3120G,111.8 GB,"2,312",6935,38.54,$59.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP200S3120G&id=262,269 MBytes/Sec,189 MBytes/Sec,175 MBytes/Sec,23 MBytes/Sec
726,KINGSTON SVP200S3240G,100.7 GB,"2,478",6709,25.04,$98.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP200S3240G&id=1363,NA,NA,NA,NA
727,KINGSTON SVP200S3480G,447.1 GB,"2,702",6373,5.25,$514.25*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP200S3480G&id=735,NA,NA,NA,NA
728,KINGSTON SVP200S37A240G,223.6 GB,"2,950",5942,13.28,$222.23*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP200S37A240G&id=969,308 MBytes/Sec,265 MBytes/Sec,245 MBytes/Sec,24 MBytes/Sec
729,KINGSTON SVP200S390G,83.8 GB,"2,008",7240,28.18,$71.25*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP200S390G&id=2215,273 MBytes/Sec,133 MBytes/Sec,149 MBytes/Sec,18 MBytes/Sec
730,KIOXIA (Toshiba) 128GB,119.2 GB,"5,640",2923,298.58,$18.89,https://www.harddrivebenchmark.net/hdd.php?hdd=KIOXIA%20%28Toshiba%29%20128GB&id=16323,"1,085 MBytes/Sec",244 MBytes/Sec,246 MBytes/Sec,37 MBytes/Sec
731,KLEVV CRAS C710 M.2 NVMe SSD 1TB,953.9 GB,"13,182",1991,128.75,$102.38*,https://www.harddrivebenchmark.net/hdd.php?hdd=KLEVV%20CRAS%20C710%20M.2%20NVMe%20SSD%201TB&id=29303,"2,043 MBytes/Sec","1,026 MBytes/Sec",767 MBytes/Sec,38 MBytes/Sec
732,KLEVV CRAS C710 M.2 NVMe SSD 256GB,238.5 GB,"11,832",2245,312.18,$37.90*,https://www.harddrivebenchmark.net/hdd.php?hdd=KLEVV%20CRAS%20C710%20M.2%20NVMe%20SSD%20256GB&id=26309,"1,776 MBytes/Sec",959 MBytes/Sec,613 MBytes/Sec,41 MBytes/Sec
733,KXG60ZNV1T02 KIOXIA,953.9 GB,"20,676",1060,429.14,$48.18,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV1T02%20KIOXIA&id=25690,"2,601 MBytes/Sec","1,961 MBytes/Sec","1,318 MBytes/Sec",46 MBytes/Sec
734,KXG60ZNV1T02 TOSHIBA,953.9 GB,"17,585",1398,79.57,$221.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV1T02%20TOSHIBA&id=24492,"2,162 MBytes/Sec","1,693 MBytes/Sec","1,224 MBytes/Sec",45 MBytes/Sec
735,KXG60ZNV256G KIOXIA,238.5 GB,"16,684",1505,427.80,$39.00,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV256G%20KIOXIA&id=25338,"2,674 MBytes/Sec","1,322 MBytes/Sec",705 MBytes/Sec,51 MBytes/Sec
736,KXG60ZNV512G KIOXIA,476.9 GB,"18,714",1252,495.22,$37.79,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G%20KIOXIA&id=25029,"2,711 MBytes/Sec","1,712 MBytes/Sec",943 MBytes/Sec,46 MBytes/Sec
737,KXG60ZNV512G TOSHIBA,476.9 GB,"17,818",1367,424.34,$41.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G%20TOSHIBA&id=24373,"2,482 MBytes/Sec","1,697 MBytes/Sec",939 MBytes/Sec,45 MBytes/Sec
738,KXG6AZNV1T02 TOSHIBA,953.9 GB,"20,360",1089,254.54,$79.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG6AZNV1T02%20TOSHIBA&id=24134,"2,511 MBytes/Sec","1,959 MBytes/Sec","1,253 MBytes/Sec",50 MBytes/Sec
739,Lexar 120GB SSD,111.8 GB,"2,976",5894,44.68,$66.62,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20120GB%20SSD&id=24595,482 MBytes/Sec,225 MBytes/Sec,116 MBytes/Sec,19 MBytes/Sec
740,Lexar 128GB SSD,119.2 GB,"3,297",5245,62.59,$52.67*,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20128GB%20SSD&id=25069,459 MBytes/Sec,282 MBytes/Sec,181 MBytes/Sec,25 MBytes/Sec
741,Lexar 1TB SSD,931.5 GB,"18,367",1300,353.48,$51.96,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%201TB%20SSD&id=25200,"2,425 MBytes/Sec","1,818 MBytes/Sec","1,012 MBytes/Sec",55 MBytes/Sec
742,Lexar 240GB SSD,223.6 GB,"2,857",6118,77.24,$36.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20240GB%20SSD&id=24706,430 MBytes/Sec,214 MBytes/Sec,145 MBytes/Sec,23 MBytes/Sec
743,Lexar 250GB SSD,232.9 GB,"10,798",2397,183.04,$58.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20250GB%20SSD&id=24837,"1,764 MBytes/Sec",866 MBytes/Sec,393 MBytes/Sec,38 MBytes/Sec
